,tweet_date,tweet_year,tweet_month,tweet_day,tweet_hour,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_lang
1212,2015-04-14 21:26:00+03:00,2015,4,14,21,"Madaxweynaha oo ku baaqay in la iska kaashado la dagaallanka argag-gixisada

Cadaado, 14 Abriil 2015,... http://t.co/9TfmDI7NSn",,,Facebook,,TRUE,FALSE,2,1,,0,http://t.co/9TfmDI7NSn,1,,0,,so
1213,2015-04-12 20:31:00+03:00,2015,4,12,20,"Madaxweynaha: Muhimadda koowaad ee dowladda waa dhismaha, tayeynta iyo daryeelka ciidammada

12 April 2015,... http://t.co/rmD88bQJBB",,,Facebook,,TRUE,FALSE,4,4,,0,http://t.co/rmD88bQJBB,1,,0,,so
1214,2015-04-11 15:48:00+03:00,2015,4,11,15,"Madaxweynaha oo sheegay inuu jiro qorshe dowladeed oo lagu dhowrayo degaanka

11 April 2015, Muqdisho:... http://t.co/7h21BiVLDm",,,Facebook,,TRUE,FALSE,4,4,,0,http://t.co/7h21BiVLDm,1,,0,,so
1215,2015-04-08 22:47:00+03:00,2015,4,8,22,Somali President announced that the conference of state formation for Central Regions will open at Adado city.,,,Facebook,,TRUE,FALSE,7,4,,0,,0,,0,,en
1216,2015-04-08 22:43:00+03:00,2015,4,8,22,The President of #Somalia closed today the reconciliation conference in Dhuusa-Marreeb,,,Facebook,,TRUE,FALSE,1,2,Somalia,1,,0,,0,,en
1217,2015-04-08 17:16:00+03:00,2015,4,8,17,"Madaxweynaha ayaa soo gebagebeeyay shirka dib u heshiinta Beelaha Gobollada Dhexe ee Dhuua Marreeb**

Dhuusa... http://t.co/plUbeFbCsa",,,Facebook,,TRUE,FALSE,4,2,,0,http://t.co/plUbeFbCsa,1,,0,,so
1218,2015-04-08 13:16:00+03:00,2015,4,8,13,"Madaxweynaha oo gaaray Dhuusa Marreeb.

Dhuusa Marreeb April 8, 2015 - Madaxweynaha Jamhuriyadda Federaalka... http://t.co/SyrNPt1HAL",,,Facebook,,TRUE,FALSE,0,1,,0,http://t.co/SyrNPt1HAL,1,,0,,so
1219,2015-04-08 13:16:00+03:00,2015,4,8,13,"Madaxweynaha oo Ergeyga Qaramada Midoobay kala hadley Hiigsiga 2016

07 April 2015, Muqdisho: Madaxweynaha... http://t.co/6dTOfNL4TE",,,Facebook,,TRUE,FALSE,0,0,,0,http://t.co/6dTOfNL4TE,1,,0,,so
1220,2015-04-08 13:09:00+03:00,2015,4,8,13,"President Mohamud welcomes adoption of Counter Terrorism Strategy

Mogadishu, April 7th, 2015 HE the President of... http://t.co/3ND2GIek7Z",,,Facebook,,TRUE,FALSE,5,1,,0,http://t.co/3ND2GIek7Z,1,,0,,en
1221,2015-04-08 13:06:00+03:00,2015,4,8,13,"Madaxweynaha oo soo dhoweeyay ansixinta istaraatiijiyadda la dagaalanka argagixisada

Muqdisho, April 7th, 2015:... http://t.co/Ol1jtzncgo",,,Facebook,,TRUE,FALSE,2,1,,0,http://t.co/Ol1jtzncgo,1,,0,,so
1222,2015-04-08 06:51:00+03:00,2015,4,8,6,HE the President of #Somalia: 'The recent outrages in #Mogadishu and in #Garissa make the Counter #Terrorism strategy even more timely',,,Twitter for iPad,,TRUE,FALSE,3,2,"Somalia, Mogadishu, Garissa, Terrorism",4,,0,,0,,en
1223,2015-04-08 06:49:00+03:00,2015,4,8,6,HE the President of #Somalia: 'The government Counter #Terrorism strategy is a framework for rendering #alShabaab irrelevant',,,Twitter for iPad,,TRUE,FALSE,9,2,"Somalia, Terrorism, alShabaab",3,,0,,0,,en
1224,2015-04-08 06:41:00+03:00,2015,4,8,6,HE the President of #Somalia : 'CT strategy is distinctively #Somali in approach and that is why this strategy has my complete confidence',,,Twitter for iPad,,TRUE,FALSE,2,0,"Somalia, Somali",2,,0,,0,,en
1225,2015-04-08 06:39:00+03:00,2015,4,8,6,"HE the President of #Somalia: 'This is a comprehensive, sophisticated CT strategy that is the result of wide-ranging research and analysis'",,,Twitter for iPad,,TRUE,FALSE,5,1,Somalia,1,,0,,0,,en
1226,2015-04-08 06:37:00+03:00,2015,4,8,6,HE the President of #Somalia welcomes the adoption of government #Counter-Terrorism strategy,,,Twitter for iPad,,TRUE,FALSE,8,2,"Somalia, Counter",2,,0,,0,,en
1227,2015-04-06 20:30:00+03:00,2015,4,6,20,"Madaxweynaha oo arrimaha qaxootiga Soomaalida ee Yemen kala hadley danjiraha Britain

06 April 2015, Muqdisho:... http://t.co/FJswS8mkFj",,,Facebook,,TRUE,FALSE,1,2,,0,http://t.co/FJswS8mkFj,1,,0,,so
1228,2015-04-06 19:51:00+03:00,2015,4,6,19,"Madaxweynaha oo Midowga Afrika u sheegay in Soomaaliya ay ka go’an tahay xaqiijinta Hiigsiga 2016

06 April 2015,... http://t.co/QvbW3XhZ5B",,,Facebook,,TRUE,FALSE,1,3,,0,http://t.co/QvbW3XhZ5B,1,,0,,so
1229,2015-04-06 14:16:00+03:00,2015,4,6,14,"Madaxweynaha oo ka tacsiyeeyay geerida Xildhibaan Xuseen Bantu

06 April 2015, Muqdisho: Madaxweynaha... http://t.co/8t4tSUVa3z",,,Facebook,,TRUE,FALSE,4,3,,0,http://t.co/8t4tSUVa3z,1,,0,,so
1230,2015-04-05 22:07:00+03:00,2015,4,5,22,Madaxweynaha oo culumada ku boorriyay in ay faafiyaan fahamka saliimka ah ee Islaamka si shacabka loo badbaadiyo.... http://t.co/K9s6hCiWld,,,Facebook,,TRUE,FALSE,1,0,,0,http://t.co/K9s6hCiWld,1,,0,,so
1231,2015-04-05 22:07:00+03:00,2015,4,5,22,Madaxweynaha oo culumada ku boorriyay in ay faafiyaan fahamka saliimka ah ee Islaamka si shacabka loo badbaadiyo.... http://t.co/91r9xpUbmF,,,Facebook,,TRUE,FALSE,2,0,,0,http://t.co/91r9xpUbmF,1,,0,,so
1232,2015-04-03 01:29:00+03:00,2015,4,2,1,"Madaxweynaha oo Cambaareeyay weerarkii argagixiso ee Gaarisa

02 April 2015, Muqdisho: Madaxweynaha Jamhuriyadda... http://t.co/bKYgB3tPk7",,,Facebook,,TRUE,FALSE,5,1,,0,http://t.co/bKYgB3tPk7,1,,0,,so
1233,2015-03-25 02:55:00+03:00,2015,3,24,2,"Madaxweynaha oo kulamo la yeeshay ergooyinka shirka dib u heshiinta Dhuusamareeb

24 Maarso 2015, Muqdisho:... http://t.co/4y0hlpZN1S",,,Facebook,,TRUE,FALSE,1,1,,0,http://t.co/4y0hlpZN1S,1,,0,,so
1234,2015-03-24 22:32:00+03:00,2015,3,24,22,Madaxweynaha oo kulamo la yeeshay ergooyinka shirka dib u heshiinta Dhuusamareeb. http://t.co/lW6ULnU8P2,,,Twitter for Android,,TRUE,FALSE,4,2,,0,,0,,0,photo,so
1235,2015-03-24 22:30:00+03:00,2015,3,24,22,Madaxweynaha oo si diiran loogu soo dhoweeyay magaalada Dhuusamareeb,,,Twitter for Android,,TRUE,FALSE,0,1,,0,,0,,0,,so
1236,2015-03-24 13:22:00+03:00,2015,3,24,13,"Madaxweynaha oo la kulmey wakiillada dadka naafada

23 Maarso 2015, Muqdisho: Madaxweynaha Jamhuriyadda... http://t.co/2Vv2i9PyfQ",,,Facebook,,TRUE,FALSE,0,4,,0,http://t.co/2Vv2i9PyfQ,1,,0,,so
1237,2015-03-14 19:11:00+03:00,2015,3,14,19,"Thanks to SOHEDA for providing free education to disadvantaged children in #Somalia. It deserves a huge credit. 
https://t.co/51I6nvaklq",,,Twitter Web Client,,TRUE,FALSE,8,6,Somalia,1,https://t.co/51I6nvaklq,1,,0,,en
1238,2015-03-14 19:05:00+03:00,2015,3,14,19,"Hey'ada SOHEDA  waxay ku mahad-santahay daryeelka caruurta danta-yar. Waa howl ku dayasho iyo dhiirro-gelin mudan.
https://t.co/51I6nvaklq",,,Twitter Web Client,,TRUE,FALSE,1,1,,0,https://t.co/51I6nvaklq,1,,0,,so
